Winner of the election: LIBERAL

Winner of the popular vote: CONSERVATIVE

        RIDING#             NDP    CONSERVATIVE         LIBERAL           GREEN   WINNING PARTY
              0               0               0               2               0        LIBERAL
              1               0               2               3               0        LIBERAL
              2               0               1               0               2          GREEN
              3               1               9               1               0   CONSERVATIVE
              4               0               0               2               0        LIBERAL
              5               0               1               0               0   CONSERVATIVE
              6               0               0               2               0        LIBERAL
              7               0               0               1               0        LIBERAL
              8               0               0               0               1          GREEN
              9               1               0               0               0            NDP
             10               0               0               0               0      NOT NAMED
             11               0               0               0               0      NOT NAMED
             12               0               0               0               0      NOT NAMED
             13               0               0               0               0      NOT NAMED
             14               0               0               0               0      NOT NAMED
             15               0               0               0               0      NOT NAMED
             16               0               0               0               0      NOT NAMED
             17               0               0               0               0      NOT NAMED
             18               0               0               0               0      NOT NAMED
             19               0               0               0               0      NOT NAMED
             20               0               0               0               0      NOT NAMED
             21               0               0               0               0      NOT NAMED
             22               0               0               0               0      NOT NAMED
             23               0               0               0               0      NOT NAMED
             24               0               0               0               0      NOT NAMED
             25               0               0               0               0      NOT NAMED
             26               0               0               0               0      NOT NAMED
             27               0               0               0               0      NOT NAMED
             28               0               0               0               0      NOT NAMED
             29               0               0               0               0      NOT NAMED
             30               0               0               0               0      NOT NAMED
             31               0               0               0               0      NOT NAMED
             32               0               0               0               0      NOT NAMED
             33               0               0               0               0      NOT NAMED
             34               0               0               0               0      NOT NAMED
             35               0               0               0               0      NOT NAMED
             36               0               0               0               0      NOT NAMED
             37               0               0               0               0      NOT NAMED
             38               0               0               0               0      NOT NAMED
             39               0               0               0               0      NOT NAMED
             40               0               0               0               0      NOT NAMED
             41               0               0               0               0      NOT NAMED
             42               0               0               0               0      NOT NAMED
             43               0               0               0               0      NOT NAMED
             44               0               0               0               0      NOT NAMED
             45               0               0               0               0      NOT NAMED
             46               0               0               0               0      NOT NAMED
             47               0               0               0               0      NOT NAMED
             48               0               0               0               0      NOT NAMED
             49               0               0               0               0      NOT NAMED
             50               0               0               0               0      NOT NAMED
             51               0               0               0               0      NOT NAMED
             52               0               0               0               0      NOT NAMED
             53               0               0               0               0      NOT NAMED
             54               0               0               0               0      NOT NAMED
             55               0               0               0               0      NOT NAMED
             56               0               0               0               0      NOT NAMED
             57               0               0               0               0      NOT NAMED
             58               0               0               0               0      NOT NAMED
             59               0               0               0               0      NOT NAMED
             60               0               0               0               0      NOT NAMED
             61               0               0               0               0      NOT NAMED
             62               0               0               0               0      NOT NAMED
             63               0               0               0               0      NOT NAMED
             64               0               0               0               0      NOT NAMED
             65               0               0               0               0      NOT NAMED
             66               0               0               0               0      NOT NAMED
             67               0               0               0               0      NOT NAMED
             68               0               0               0               0      NOT NAMED
             69               0               0               0               0      NOT NAMED
             70               0               0               0               0      NOT NAMED
             71               0               0               0               0      NOT NAMED
             72               0               0               0               0      NOT NAMED
             73               0               0               0               0      NOT NAMED
             74               0               0               0               0      NOT NAMED
             75               0               0               0               0      NOT NAMED
             76               0               0               0               0      NOT NAMED
             77               0               0               0               0      NOT NAMED
             78               0               0               0               0      NOT NAMED
             79               0               0               0               0      NOT NAMED
             80               0               0               0               0      NOT NAMED
             81               0               0               0               0      NOT NAMED
             82               0               0               0               0      NOT NAMED
             83               0               0               0               0      NOT NAMED
             84               0               0               0               0      NOT NAMED
             85               0               0               0               0      NOT NAMED
             86               0               0               0               0      NOT NAMED
             87               0               0               0               0      NOT NAMED
             88               0               0               0               0      NOT NAMED
             89               0               0               0               0      NOT NAMED
             90               0               0               0               0      NOT NAMED
             91               0               0               0               0      NOT NAMED
             92               0               0               0               0      NOT NAMED
             93               0               0               0               0      NOT NAMED
             94               0               0               0               0      NOT NAMED
             95               0               0               0               0      NOT NAMED
             96               0               0               0               0      NOT NAMED
             97               0               0               0               0      NOT NAMED
             98               0               0               0               0      NOT NAMED
             99               0               0               0               0      NOT NAMED
            100               0               0               0               0      NOT NAMED
            101               0               0               0               0      NOT NAMED
            102               0               0               0               0      NOT NAMED
            103               0               0               0               0      NOT NAMED
            104               0               0               0               0      NOT NAMED
            105               0               0               0               0      NOT NAMED
            106               0               0               0               0      NOT NAMED
            107               0               0               0               0      NOT NAMED
            108               0               0               0               0      NOT NAMED
            109               0               0               0               0      NOT NAMED
            110               0               0               0               0      NOT NAMED
            111               0               0               0               0      NOT NAMED
            112               0               0               0               0      NOT NAMED
            113               0               0               0               0      NOT NAMED
            114               0               0               0               0      NOT NAMED
            115               0               0               0               0      NOT NAMED
            116               0               0               0               0      NOT NAMED
            117               0               0               0               0      NOT NAMED
            118               0               0               0               0      NOT NAMED
            119               0               0               0               0      NOT NAMED
            120               0               0               0               0      NOT NAMED
            121               0               0               0               0      NOT NAMED
            122               0               0               0               0      NOT NAMED
            123               0               0               0               0      NOT NAMED
            124               0               0               0               0      NOT NAMED
            125               0               0               0               0      NOT NAMED
            126               0               0               0               0      NOT NAMED
            127               0               0               0               0      NOT NAMED
            128               0               0               0               0      NOT NAMED
            129               0               0               0               0      NOT NAMED
            130               0               0               0               0      NOT NAMED
            131               0               0               0               0      NOT NAMED
            132               0               0               0               0      NOT NAMED
            133               0               0               0               0      NOT NAMED
            134               0               0               0               0      NOT NAMED
            135               0               0               0               0      NOT NAMED
            136               0               0               0               0      NOT NAMED
            137               0               0               0               0      NOT NAMED
            138               0               0               0               0      NOT NAMED
            139               0               0               0               0      NOT NAMED
            140               0               0               0               0      NOT NAMED
            141               0               0               0               0      NOT NAMED
            142               0               0               0               0      NOT NAMED
            143               0               0               0               0      NOT NAMED
            144               0               0               0               0      NOT NAMED
            145               0               0               0               0      NOT NAMED
            146               0               0               0               0      NOT NAMED
            147               0               0               0               0      NOT NAMED
            148               0               0               0               0      NOT NAMED
            149               0               0               0               0      NOT NAMED
            150               0               0               0               0      NOT NAMED
            151               0               0               0               0      NOT NAMED
            152               0               0               0               0      NOT NAMED
            153               0               0               0               0      NOT NAMED
            154               0               0               0               0      NOT NAMED
            155               0               0               0               0      NOT NAMED
            156               0               0               0               0      NOT NAMED
            157               0               0               0               0      NOT NAMED
            158               0               0               0               0      NOT NAMED
            159               0               0               0               0      NOT NAMED
            160               0               0               0               0      NOT NAMED
            161               0               0               0               0      NOT NAMED
            162               0               0               0               0      NOT NAMED
            163               0               0               0               0      NOT NAMED
            164               0               0               0               0      NOT NAMED
            165               0               0               0               0      NOT NAMED
            166               0               0               0               0      NOT NAMED
            167               0               0               0               0      NOT NAMED
            168               0               0               0               0      NOT NAMED
            169               0               0               0               0      NOT NAMED
            170               0               0               0               0      NOT NAMED
            171               0               0               0               0      NOT NAMED
            172               0               0               0               0      NOT NAMED
            173               0               0               0               0      NOT NAMED
            174               0               0               0               0      NOT NAMED
            175               0               0               0               0      NOT NAMED
            176               0               0               0               0      NOT NAMED
            177               0               0               0               0      NOT NAMED
            178               0               0               0               0      NOT NAMED
            179               0               0               0               0      NOT NAMED
            180               0               0               0               0      NOT NAMED
            181               0               0               0               0      NOT NAMED
            182               0               0               0               0      NOT NAMED
            183               0               0               0               0      NOT NAMED
            184               0               0               0               0      NOT NAMED
            185               0               0               0               0      NOT NAMED
            186               0               0               0               0      NOT NAMED
            187               0               0               0               0      NOT NAMED
            188               0               0               0               0      NOT NAMED
            189               0               0               0               0      NOT NAMED
            190               0               0               0               0      NOT NAMED
            191               0               0               0               0      NOT NAMED
            192               0               0               0               0      NOT NAMED
